,Date,Open,High,Low,CloseClose price adjusted for splits.,Adj CloseAdjusted close price adjusted for splits and dividend and/or capital gain distributions.,Volume
1037,"Mar 24, 2021",291.00,291.72,281.16,282.14,280.82,"18,675,000"
1038,"Mar 23, 2021",293.15,298.00,289.81,290.63,289.27,"23,000,900"
1039,"Mar 22, 2021",290.45,299.71,286.75,293.54,292.16,"28,273,100"
1040,"Mar 19, 2021",281.22,292.80,281.20,290.11,288.75,"38,930,500"
1041,"Mar 18, 2021",279.87,285.19,278.28,278.62,277.31,"18,728,300"
1042,"Mar 17, 2021",275.71,286.23,275.41,284.01,282.68,"21,315,000"
1043,"Mar 16, 2021",276.08,282.14,274.80,279.28,277.97,"22,437,700"
1044,"Mar 15, 2021",269.08,275.96,268.50,273.75,272.47,"16,844,800"
1045,"Mar 12, 2021",269.14,269.74,264.02,268.40,267.14,"20,600,200"
1046,"Mar 11, 2021",268.11,277.90,267.82,273.88,272.60,"21,834,000"
1047,"Mar 10, 2021",268.64,268.97,262.87,264.90,263.66,"14,210,300"
1048,"Mar 9, 2021",261.18,268.53,259.81,265.74,264.49,"22,039,700"
1049,"Mar 8, 2021",265.55,265.58,255.05,255.31,254.11,"18,391,800"
1050,"Mar 5, 2021",260.67,265.45,255.61,264.28,263.04,"26,820,100"
1051,"Mar 4, 2021",256.47,266.49,253.50,257.64,256.43,"31,626,500"
1052,"Mar 3, 2021",260.29,260.99,255.10,255.41,254.21,"15,513,500"
1053,"Mar 2, 2021",265.78,266.71,258.65,259.00,257.79,"15,191,700"
1054,"Mar 1, 2021",260.82,266.65,257.90,264.91,263.67,"22,157,300"
1055,"Feb 26, 2021",256.47,265.55,256.47,257.62,256.41,"26,619,500"
1056,"Feb 25, 2021",262.30,266.94,254.04,254.69,253.50,"19,053,100"
1057,"Feb 24, 2021",262.33,266.38,258.39,264.31,263.07,"15,736,100"
1058,"Feb 23, 2021",259.50,267.46,254.96,265.86,264.61,"21,924,600"
1059,"Feb 22, 2021",257.95,263.07,257.53,260.33,259.11,"17,434,900"
1060,"Feb 19, 2021",269.86,270.27,260.15,261.56,260.33,"25,622,600"
1061,"Feb 18, 2021",269.57,271.95,266.03,269.39,268.13,"15,249,100"
1062,"Feb 17, 2021",271.24,273.97,269.58,273.57,272.29,"12,763,200"
1063,"Feb 16, 2021",270.80,276.60,270.05,273.97,272.68,"15,417,200"
1064,"Feb 12, 2021",270.52,271.18,268.34,270.50,269.23,"9,097,600"
1065,"Feb 11, 2021",271.89,273.58,268.49,270.39,269.12,"12,828,600"
1066,"Feb 10, 2021",272.45,273.80,267.72,271.87,270.59,"14,687,200"
1067,"Feb 9, 2021",266.44,273.39,265.75,269.45,268.19,"14,613,400"
1068,"Feb 8, 2021",268.75,269.86,265.00,266.58,265.33,"13,755,200"
1069,"Feb 5, 2021",266.80,269.17,265.67,268.10,266.84,"12,454,400"
1070,"Feb 4, 2021",267.01,268.16,264.00,266.49,265.24,"16,060,000"
1071,"Feb 3, 2021",265.62,269.20,263.84,266.65,265.40,"14,223,400"
1072,"Feb 2, 2021",264.00,268.85,263.27,267.08,265.83,"17,320,800"
1073,"Feb 1, 2021",259.52,264.17,254.91,262.01,260.78,"22,914,300"
1074,"Jan 29, 2021",265.30,266.56,254.85,258.33,257.12,"30,389,500"
1075,"Jan 28, 2021",277.18,286.79,264.70,265.00,263.76,"37,758,800"
1076,"Jan 27, 2021",282.53,283.45,268.12,272.14,270.86,"35,346,200"
1077,"Jan 26, 2021",278.14,285.39,277.81,282.05,280.73,"19,373,600"
1078,"Jan 25, 2021",278.14,280.10,271.51,278.01,276.71,"19,087,000"
1079,"Jan 22, 2021",272.01,278.47,272.00,274.50,273.21,"21,954,000"
1080,"Jan 21, 2021",269.26,273.60,267.49,272.87,271.59,"20,838,700"
1081,"Jan 20, 2021",268.93,270.32,263.60,267.48,266.23,"25,199,900"
1082,"Jan 19, 2021",256.90,262.20,252.72,261.10,259.88,"28,028,500"
1083,"Jan 15, 2021",247.90,253.86,247.16,251.36,250.18,"24,942,900"
1084,"Jan 14, 2021",253.40,255.03,244.61,245.64,244.49,"29,739,400"
1085,"Jan 13, 2021",251.55,253.95,249.20,251.64,250.46,"19,528,900"
1086,"Jan 12, 2021",256.63,259.72,250.30,251.09,249.91,"26,383,500"
1087,"Jan 11, 2021",260.48,263.47,255.90,256.84,255.64,"30,412,300"
1088,"Jan 8, 2021",268.31,268.95,263.18,267.57,266.31,"18,528,300"
1089,"Jan 7, 2021",265.90,271.61,264.78,268.74,267.48,"15,789,800"
1090,"Jan 6, 2021",262.00,267.75,260.01,263.31,262.07,"24,354,100"
1091,"Jan 5, 2021",268.29,272.40,268.21,270.97,269.70,"9,871,600"
1092,"Jan 4, 2021",274.78,275.00,265.20,268.94,267.68,"15,106,100"
1093,"Dec 31, 2020",272.00,277.09,269.81,273.16,271.88,"12,900,400"
1094,"Dec 30, 2020",277.95,278.08,271.71,271.87,270.59,"11,803,800"
1095,"Dec 29, 2020",276.95,280.51,276.28,276.78,275.48,"16,383,000"
1096,"Dec 28, 2020",268.74,277.30,265.66,277.00,275.70,"23,299,700"
1097,"Dec 24, 2020",268.88,270.40,266.20,267.40,266.15,"6,702,000"
1098,"Dec 23, 2020",266.89,272.17,266.23,268.11,266.85,"14,329,000"
1099,"Dec 22, 2020",271.50,271.50,264.63,267.09,265.84,"17,312,900"
1100,"Dec 21, 2020",272.98,274.67,267.79,272.79,271.51,"16,553,700"
1101,"Dec 18, 2020",275.77,278.00,271.14,276.40,275.10,"26,693,200"
1102,"Dec 17, 2020",277.07,280.44,273.61,274.48,273.19,"16,377,800"
1103,"Dec 16, 2020",274.76,277.86,272.51,275.67,274.38,"15,885,000"
1104,"Dec 15, 2020",274.83,276.08,267.47,275.55,274.26,"23,979,500"
1105,"Dec 14, 2020",273.37,277.22,271.56,274.19,272.90,"16,376,900"
1106,"Dec 11, 2020",274.53,276.48,270.25,273.55,272.27,"14,391,400"
1107,"Dec 10, 2020",275.54,278.73,271.86,277.12,275.82,"20,065,100"
1108,"Dec 9, 2020",283.66,287.63,271.75,277.92,276.62,"25,189,700"
1109,"Dec 8, 2020",286.01,286.43,281.55,283.40,282.07,"10,747,700"
